CMDLINE /usr/local/opt/python/bin/python3.6 trainer.py
MEM 0.285156 1524080149.2879
MEM 10.406250 1524080149.3931
MEM 13.476562 1524080149.4933
MEM 20.550781 1524080149.5941
MEM 42.390625 1524080149.6970
MEM 46.058594 1524080149.7996
MEM 50.226562 1524080149.9048
MEM 51.031250 1524080150.0096
MEM 52.449219 1524080150.1102
MEM 53.167969 1524080150.2136
MEM 56.339844 1524080150.3188
MEM 57.761719 1524080150.4237
MEM 58.769531 1524080150.5253
MEM 59.730469 1524080150.6304
MEM 61.929688 1524080150.7330
MEM 64.226562 1524080150.8382
MEM 65.988281 1524080150.9395
MEM 70.503906 1524080151.0424
MEM 73.113281 1524080151.1427
MEM 75.238281 1524080151.2430
MEM 78.421875 1524080151.3465
MEM 83.265625 1524080151.4488
MEM 87.027344 1524080151.5502
MEM 91.000000 1524080151.6528
MEM 95.011719 1524080151.7553
MEM 99.917969 1524080151.8567
MEM 103.871094 1524080151.9594
MEM 105.339844 1524080152.0623
MEM 108.445312 1524080152.1626
MEM 108.511719 1524080152.2639
MEM 108.570312 1524080152.3645
MEM 108.832031 1524080152.4694
MEM 109.121094 1524080152.5708
MEM 109.328125 1524080152.6734
MEM 109.531250 1524080152.7786
MEM 109.761719 1524080152.8816
MEM 109.937500 1524080152.9820
MEM 110.125000 1524080153.0822
MEM 110.304688 1524080153.1825
MEM 110.468750 1524080153.2877
MEM 111.140625 1524080153.3922
MEM 111.382812 1524080153.4927
MEM 111.652344 1524080153.5961
MEM 111.816406 1524080153.6993
MEM 111.976562 1524080153.8012
MEM 112.113281 1524080153.9014
MEM 112.250000 1524080154.0018
MEM 112.406250 1524080154.1021
MEM 112.531250 1524080154.2025
MEM 112.671875 1524080154.3028
MEM 112.789062 1524080154.4064
MEM 112.953125 1524080154.5114
MEM 113.066406 1524080154.6131
MEM 113.191406 1524080154.7165
MEM 113.406250 1524080154.8193
MEM 113.636719 1524080154.9214
MEM 113.921875 1524080155.0230
MEM 114.171875 1524080155.1281
MEM 114.363281 1524080155.2332
MEM 114.515625 1524080155.3349
MEM 114.789062 1524080155.4393
MEM 115.023438 1524080155.5439
MEM 115.226562 1524080155.6454
MEM 115.468750 1524080155.7489
MEM 115.679688 1524080155.8509
MEM 115.894531 1524080155.9532
MEM 116.167969 1524080156.0560
MEM 116.421875 1524080156.1587
MEM 116.703125 1524080156.2616
MEM 116.929688 1524080156.3662
MEM 117.187500 1524080156.4714
MEM 117.453125 1524080156.5725
